SKILL_ID,SKILL_NAME,SKILL_SHORT_NAME,SKILL_AREA_NAME,CONTENT_AREA_NAME,CONTENT_AREA_SHORT_NAME,PEDAGOGICAL_LIMITS,DOK_LEVEL,IS_EN_US_FOCUS_SKILL,IS_G3_READING_PROFICIENCY_SKILL,IS_G4_PROFICIENCY_SKILL,IS_KINDERGARTEN_READINESS_SKILL,HAS_CBM_MEASURE,IS_ALGEBRA_READINESS_SKILL,GRADE_LEVEL_DEFAULT_ID,GRADE_LEVEL_NAME,GRADE_LEVEL_SHORT_NAME,GRADE_LEVEL_DEFAULT_ORDER,USP_SECTION_CODE,USP_SECTION_NAME,USP_SECTION_DEFAULT_ORDER,SKILL_AREA_ID,CONTENT_AREA_ID,USP_SECTION_ID,SKILL_STATUS,USP_SKILL_STATUS,REPLACES_SKILL_ID,SKILL_CREATION_RATIONALE,SKILL_NOTES,DEV_NOTE,LAST_CHANGE_TYPE,LAST_CHANGE_BATCH
2e1c483a-f6b6-46fa-8e57-e6f8226ab4c4,"With support, identify some of the sounds of letters","With support, identify some sounds of letters",Alphabetic Knowledge,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_PREK,Pre-K,PK,-1,PK,Pre-Kindergarten,1,36c2b6a5-a69f-e311-9503-005056801da1,1,4a314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
e3c494a0-1f1f-40f9-b8f0-da84e8da8898,Identify some letters in printed words,Identify some letters in words,Alphabetic Knowledge,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_PREK,Pre-K,PK,-1,PK,Pre-Kindergarten,1,36c2b6a5-a69f-e311-9503-005056801da1,1,4a314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
a30ff61e-e69f-e311-9503-005056801da1,Recognize the sounds of letters in lower- and uppercase form,Recognize the sounds of lower / uppercase letters,Alphabetic Knowledge,English Language Arts,ELA,,,true,false,false,false,false,false,GRADE_K,Kindergarten,K,0,K,Kindergarten,2,36c2b6a5-a69f-e311-9503-005056801da1,1,4b314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
c795f9d2-a849-4531-ab5b-bd558bb125de,"Know the order of the alphabet (e.g., identify letters that come before or after another letter)",Know the order of the alphabet,Alphabetic Knowledge,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_K,Kindergarten,K,0,K,Kindergarten,2,36c2b6a5-a69f-e311-9503-005056801da1,1,4b314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
23263971-e482-43ba-8882-fa8db08a07c0,"Write the letters of the alphabet including most upper- and lowercase letters (e.g., write first and last name)",Write the letters of the alphabet,Alphabetic Knowledge,English Language Arts,ELA,,,false,false,false,true,false,false,GRADE_K,Kindergarten,K,0,K,Kindergarten,2,36c2b6a5-a69f-e311-9503-005056801da1,1,4b314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
9e0ff61e-e69f-e311-9503-005056801da1,"Distinguish between the shapes of upper- and lowercase letters (e.g., pick the letter that is different in <i>S</i>, <i>S</i>, <i>C</i>; pick the letter that is different in <i>E</i>, <i>f</i>, <i>f</i>)",Note differences of upper- and lowercase letters,Alphabetic Knowledge,English Language Arts,ELA,,,true,false,false,true,true,false,GRADE_K,Kindergarten,K,0,K,Kindergarten,2,36c2b6a5-a69f-e311-9503-005056801da1,1,4b314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
0c0ed03d-350f-4466-a034-74dc40a78e16,Identify and match sounds to individual letters,Match sounds to letters,Alphabetic Knowledge,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_1,Grade 1,1,1,1,Grade 1,3,36c2b6a5-a69f-e311-9503-005056801da1,1,e3a4670b-a39f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
6641afac-babe-4fbc-8c59-f634102ce3de,Recognize all of the letters of the alphabet in order,Recognize the letters of the alphabet in order,Alphabetic Knowledge,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_PREK,Pre-K,PK,-1,PK,Pre-Kindergarten,1,36c2b6a5-a69f-e311-9503-005056801da1,1,4a314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
9b0ff61e-e69f-e311-9503-005056801da1,"Distinguish letters from numbers (e.g., select <i>J</i> from choices <i>J</i>, <i>8</i>, <i>7</i>)",Distinguish letters from numbers,Alphabetic Knowledge,English Language Arts,ELA,,,true,false,false,true,false,false,GRADE_PREK,Pre-K,PK,-1,PK,Pre-Kindergarten,1,36c2b6a5-a69f-e311-9503-005056801da1,1,4a314c9c-a69f-e311-9503-005056801da1,Released,Ready,,,,Inherited as-is. Not yet reviewed for meeting ROCK requirements.,initial,RSLBASE_20240701
e4e73b78-9bce-4c17-ba54-88bf3fcc822a,Write all uppercase letters of the English alphabet,Write uppercase English letters,Alphabetic Knowledge,English Language Arts,ELA,,,false,false,false,false,false,false,GRADE_K,Kindergarten,K,0,,,,36c2b6a5-a69f-e311-9503-005056801da1,1,,Released,Unknown,,,,Delivery 12 Release - skills beyond LPs,update,RSLCHANGE_ELA_20250814_01_01_RELEASE
